fold,model,test_year,n_top_10pct,precision_top_10pct,mean_ret_combo_top_10pct,sum_ret_combo_top_10pct,n_top_20pct,precision_top_20pct,mean_ret_combo_top_20pct,sum_ret_combo_top_20pct
1,Dummy_most_frequent,2023,91,0.27472527472527475,-0.031512365214796764,-2.8676252345465056,182,0.2692307692307692,-0.02992466575206437,-5.446289166875715
1,LogisticRegression,2023,91,0.38461538461538464,-0.009393491423693626,-0.8548077195561199,182,0.3956043956043956,-0.0024403425438946137,-0.4441423429888197
1,RandomForest,2023,91,0.5824175824175825,0.04404489173880747,4.00808514823148,182,0.5934065934065934,0.03831058447830747,6.9725263750519595
1,XGBoost,2023,91,0.4725274725274725,0.014135442906020894,1.2863253044479013,182,0.45604395604395603,0.01416159634370482,2.5774105345542773
2,Dummy_most_frequent,2024,143,0.5594405594405595,0.01636598045030283,2.3403352043933046,286,0.5699300699300699,0.0146855670651156,4.200072180623062
2,LogisticRegression,2024,143,0.6363636363636364,0.04085003510286623,5.841555019709871,286,0.6118881118881119,0.03668934271518645,10.493152016543325
2,RandomForest,2024,143,0.6433566433566433,0.05377212010825268,7.689413175480133,286,0.6223776223776224,0.04696872091613504,13.433054182014622
2,XGBoost,2024,143,0.6293706293706294,0.04432539433089736,6.338531389318323,286,0.6258741258741258,0.04147928288932165,11.863074906345991
3,Dummy_most_frequent,2025,93,0.5591397849462365,0.05483296289699656,5.09946554942068,185,0.5243243243243243,0.04827189082540917,8.930299802700697
3,LogisticRegression,2025,93,0.6129032258064516,0.12195170741589262,11.341508789678013,185,0.5513513513513514,0.08100895864946336,14.986657350150722
3,RandomForest,2025,93,0.6129032258064516,0.1040495205486871,9.6766054110279,185,0.5621621621621622,0.07683050071444297,14.21364263217195
3,XGBoost,2025,93,0.5591397849462365,0.059617362632072075,5.544414724782703,185,0.4972972972972973,0.028656790602584685,5.301506261478167
