threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,predicted_positive_rate,tn,fp,fn,tp,fold,model,threshold_strategy,train_years,val_year,test_year
0.5,0.45093715545755236,0.45093715545755236,1.0,0.621580547112462,0.5,0.45093715545755236,0.5490628445424476,1.0,0,498,0,409,1,Dummy,fixed_0_50,"2018,2019,2020,2021",2022,2023
0.5,0.45093715545755236,0.45093715545755236,1.0,0.621580547112462,0.5,0.45093715545755236,0.5490628445424476,1.0,0,498,0,409,1,Dummy,optimized_f1_on_validation,"2018,2019,2020,2021",2022,2023
0.5,0.48180815876515987,0.4140845070422535,0.3594132029339853,0.38481675392670156,0.4718335444467356,0.42925016472535954,0.2555712806072698,0.3914002205071665,290,208,262,147,1,LogisticRegression,fixed_0_50,"2018,2019,2020,2021",2022,2023
0.5199999999999999,0.5115766262403528,0.4346153846153846,0.2762836185819071,0.33781763826606875,0.4718335444467356,0.42925016472535954,0.2555712806072698,0.2866593164277839,351,147,296,113,1,LogisticRegression,optimized_f1_on_validation,"2018,2019,2020,2021",2022,2023
0.5,0.5093715545755237,0.47643979057591623,0.8899755501222494,0.6206308610400681,0.5988403491717482,0.5464647704438214,0.25033979705819737,0.8423373759647188,98,400,45,364,1,RandomForest,fixed_0_50,"2018,2019,2020,2021",2022,2023
0.42499999999999993,0.4553472987872106,0.45251396648044695,0.9902200488997555,0.6211656441717791,0.5988403491717482,0.5464647704438214,0.25033979705819737,0.9867695700110254,8,490,4,405,1,RandomForest,optimized_f1_on_validation,"2018,2019,2020,2021",2022,2023
0.5,0.5181918412348401,0.47770700636942676,0.7334963325183375,0.5785920925747348,0.5370135799923409,0.4767519580330495,0.2575277860183796,0.6923925027563396,170,328,109,300,1,XGBoost,fixed_0_50,"2018,2019,2020,2021",2022,2023
0.24,0.4498346196251378,0.4501108647450111,0.9926650366748166,0.6193745232646835,0.5370135799923409,0.4767519580330495,0.2575277860183796,0.9944873208379272,2,496,3,406,1,XGBoost,optimized_f1_on_validation,"2018,2019,2020,2021",2022,2023
0.5,0.4191742477256823,0.0,0.0,0.0,0.5,0.5808257522743177,0.5808257522743177,0.0,599,0,830,0,2,Dummy,fixed_0_50,"2018,2019,2020,2021,2022",2023,2024
0.5,0.4191742477256823,0.0,0.0,0.0,0.5,0.5808257522743177,0.5808257522743177,0.0,599,0,830,0,2,Dummy,optimized_f1_on_validation,"2018,2019,2020,2021,2022",2023,2024
0.5,0.5381385584324703,0.6145552560646901,0.5493975903614458,0.5801526717557252,0.5375465132650803,0.6135572236488007,0.25222216381451074,0.5192442267319805,313,286,374,456,2,LogisticRegression,fixed_0_50,"2018,2019,2020,2021,2022",2023,2024
0.12,0.5815255423372988,0.5813464235624124,0.9987951807228915,0.7349290780141844,0.5375465132650803,0.6135572236488007,0.25222216381451074,0.9979006298110566,2,597,1,829,2,LogisticRegression,optimized_f1_on_validation,"2018,2019,2020,2021,2022",2023,2024
0.5,0.5731280615815255,0.6093439363817097,0.7385542168674699,0.6677559912854031,0.5524126556308707,0.6163286478749898,0.24467693585157224,0.7039888033589923,206,393,217,613,2,RandomForest,fixed_0_50,"2018,2019,2020,2021,2022",2023,2024
0.36999999999999994,0.5808257522743177,0.5808257522743177,1.0,0.734838424081452,0.5524126556308707,0.6163286478749898,0.24467693585157224,1.0,0,599,0,830,2,RandomForest,optimized_f1_on_validation,"2018,2019,2020,2021,2022",2023,2024
0.5,0.5465360391882436,0.6117936117936118,0.6,0.6058394160583942,0.5446044612506789,0.621680664689219,0.2469851187750623,0.56962911126662,283,316,332,498,2,XGBoost,fixed_0_50,"2018,2019,2020,2021,2022",2023,2024
0.20999999999999996,0.5808257522743177,0.5808257522743177,1.0,0.734838424081452,0.5446044612506789,0.621680664689219,0.2469851187750623,1.0,0,599,0,830,2,XGBoost,optimized_f1_on_validation,"2018,2019,2020,2021,2022",2023,2024
0.5,0.5086580086580087,0.0,0.0,0.0,0.5,0.49134199134199136,0.49134199134199136,0.0,470,0,454,0,3,Dummy,fixed_0_50,"2018,2019,2020,2021,2022,2023",2024,2025
0.5,0.5086580086580087,0.0,0.0,0.0,0.5,0.49134199134199136,0.49134199134199136,0.0,470,0,454,0,3,Dummy,optimized_f1_on_validation,"2018,2019,2020,2021,2022,2023",2024,2025
0.5,0.5606060606060606,0.5465116279069767,0.6211453744493393,0.5814432989690722,0.5723169931577466,0.5468630268654426,0.24657916140561026,0.5584415584415584,236,234,172,282,3,LogisticRegression,fixed_0_50,"2018,2019,2020,2021,2022,2023",2024,2025
0.15999999999999998,0.49242424242424243,0.49187432286023836,1.0,0.6594045025417574,0.5723169931577466,0.5468630268654426,0.24657916140561026,0.9989177489177489,1,469,0,454,3,LogisticRegression,optimized_f1_on_validation,"2018,2019,2020,2021,2022,2023",2024,2025
0.5,0.5476190476190477,0.5310344827586206,0.6784140969162996,0.5957446808510638,0.5777439310150905,0.565638701974848,0.24641896898262183,0.6277056277056277,198,272,146,308,3,RandomForest,fixed_0_50,"2018,2019,2020,2021,2022,2023",2024,2025
0.36499999999999994,0.49567099567099565,0.4934782608695652,1.0,0.660844250363901,0.5777439310150905,0.565638701974848,0.24641896898262183,0.9956709956709957,4,466,0,454,3,RandomForest,optimized_f1_on_validation,"2018,2019,2020,2021,2022,2023",2024,2025
0.5,0.512987012987013,0.5050761421319797,0.43832599118942733,0.4693396226415094,0.5209860343049957,0.5257372225372094,0.25267374268002063,0.4264069264069264,275,195,255,199,3,XGBoost,fixed_0_50,"2018,2019,2020,2021,2022,2023",2024,2025
0.26499999999999996,0.4902597402597403,0.49079089924160346,0.9977973568281938,0.6579520697167756,0.5209860343049957,0.5257372225372094,0.25267374268002063,0.9989177489177489,0,470,1,453,3,XGBoost,optimized_f1_on_validation,"2018,2019,2020,2021,2022,2023",2024,2025
