model,top_fraction,precision_top,mean_return_top,median_return_top,base_precision_all_test,base_mean_return_all_test,precision_lift_vs_all,return_delta_vs_all
Dummy,0.1,0.46443520637069025,0.013228859377500873,-0.008085209226505232,0.5077016330246205,0.02154550083993371,0.903466059209944,-0.008316641462432835
Dummy,0.2,0.4544950544950545,0.011010930712820133,-0.007466973519353634,0.5077016330246205,0.02154550083993371,0.8818050980377937,-0.010534570127113577
Dummy,0.3,0.4645690041373494,0.013883001973774798,-0.007538888012596716,0.5077016330246205,0.02154550083993371,0.9063683969514109,-0.007662498866158912
LogisticRegression,0.1,0.5446274155951575,0.04959987985189996,0.024467480409415668,0.5077016330246205,0.02154550083993371,1.0653166619403278,0.02805437901196625
LogisticRegression,0.2,0.5207801207801208,0.03853989955331019,0.004551091089947667,0.5077016330246205,0.02154550083993371,1.0196423264095869,0.01699439871337648
LogisticRegression,0.3,0.5406735550620443,0.03326694920646924,0.0065795261049967505,0.5077016330246205,0.02154550083993371,1.058257101748864,0.011721448366535525
RandomForest,0.1,0.6590219816026267,0.07056597595130958,0.046981234212690536,0.5077016330246205,0.02154550083993371,1.3153792791275325,0.04902047511137586
RandomForest,0.2,0.5943137943137944,0.0549288444438596,0.026481793724173548,0.5077016330246205,0.02154550083993371,1.1791637693357713,0.03338334360392589
RandomForest,0.3,0.5893598807267871,0.050104307096135135,0.025397717243611936,0.5077016330246205,0.02154550083993371,1.168932083122908,0.028558806256201417
XGBoost,0.1,0.5925794635472055,0.04864747066078127,0.010405451404288267,0.5077016330246205,0.02154550083993371,1.1624074385256105,0.027101969820847564
XGBoost,0.2,0.5381258381258381,0.03406658742110231,0.007814508931443432,0.5077016330246205,0.02154550083993371,1.0607488046844342,0.012521086581168602
XGBoost,0.3,0.5461796397048196,0.03109725284343202,0.009512165449683167,0.5077016330246205,0.02154550083993371,1.0769660029613408,0.009551752003498313
