strategy,selected_signals,entered_trades,skipped_signals,final_capital,total_return,cagr_approx,max_drawdown_event,win_rate_trades,mean_trade_return,median_trade_return,profit_factor,delta_final_capital_vs_baseline,delta_total_return_vs_baseline,delta_drawdown_vs_baseline,trade_reduction_vs_baseline
BASELINE_TECNICO_ALL,3260,332,2928,255653.87595768177,0.2782693797884088,0.08550097103145271,-0.09313068008287018,0.4819277108433735,0.017459388621145145,-0.0023628202060842,1.476248157079102,0.0,0.0,0.0,0.0
RandomForest_TOP_10,327,108,219,278036.885375999,0.3901844268799948,0.11913941607727208,-0.04525441969007582,0.5925925925925926,0.06725058126452398,0.027802349021407102,3.2057539389220397,22383.009418317204,0.11191504709158595,0.047876260392794356,0.6746987951807228
RandomForest_TOP_20,653,194,459,305949.5507236854,0.5297477536184272,0.15279284844262264,-0.07437711717846085,0.5463917525773195,0.04809926012530057,0.01730394647453735,2.642002898382028,50295.67476600365,0.25147837383001836,0.018753562904409327,0.4156626506024096
RandomForest_TOP_30,980,218,762,395127.3009227718,0.9756365046138591,0.2557624904266804,-0.03178137941360093,0.6192660550458715,0.0695302791466622,0.0321973256396818,3.7372283631791436,139473.42496509003,0.6973671248254503,0.06134930066926925,0.34337349397590367
XGBoost_TOP_10,327,158,169,301825.8501791019,0.5091292508955096,0.1475723221177887,-0.07687318990766023,0.5886075949367089,0.056914725440089374,0.0268199924014411,3.2517474571759224,46171.974221420154,0.23085987110710082,0.016257490175209943,0.5240963855421688
XGBoost_TOP_20,653,214,439,317029.02970345726,0.5851451485172863,0.1665911980998187,-0.07969992526989933,0.5841121495327103,0.047557190730183725,0.020212309689139098,2.7725145677965526,61375.15374577549,0.30687576872887745,0.013430754812970847,0.35542168674698793
XGBoost_TOP_30,980,245,735,326207.87262303045,0.6310393631151523,0.17778138624005813,-0.05876448473482465,0.5836734693877551,0.04390478830440167,0.0209947723560306,2.661891574521589,70553.99666534868,0.3527699833267435,0.034366195348045525,0.2620481927710844
LogisticRegression_TOP_10,327,196,131,301164.37448287045,0.5058218724143522,0.14673049657302295,-0.07679641170212126,0.5255102040816326,0.04758329446550722,0.0114341167016547,2.5272049480663843,45510.49852518868,0.22755249262594335,0.016334268380748918,0.40963855421686746
RandomForest_THRESHOLD_0_50,2350,301,2049,287878.2983660996,0.43939149183049797,0.1294290926040631,-0.09494451112245239,0.5116279069767442,0.02765572203575334,0.002621187989038,1.7406292971068371,32224.422408417828,0.16112211204208915,-0.0018138310395822144,0.09337349397590367
XGBoost_THRESHOLD_0_50,1836,273,1563,344518.56152760703,0.7225928076380352,0.19949349965584728,-0.05758083580786044,0.5677655677655677,0.04443672047209473,0.0166974833022367,2.6994369746304567,88864.68556992526,0.4443234278496264,0.035549844275009734,0.17771084337349397
LogisticRegression_THRESHOLD_0_50,1613,306,1307,239429.45133700423,0.1971472566850212,0.06203455194573171,-0.08442904299428355,0.49019607843137253,0.013153567639762984,-0.00316377079962235,1.3482831642077548,-16224.424620677542,-0.08112212310338762,0.008701637088586622,0.07831325301204817
RandomForest_THRESHOLD_OPT_F1,3244,313,2931,313191.08385521115,0.5659554192760559,0.16168884844662834,-0.09562890032819016,0.5047923322683706,0.03272464693838052,0.0014070036495453,1.965917900989092,57537.207897529384,0.28768603948764704,-0.002498220245319982,0.05722891566265065
XGBoost_THRESHOLD_OPT_F1,3254,317,2937,282881.7440247163,0.41440872012358154,0.12284012650066933,-0.1246204670258968,0.5205047318611987,0.025068902560644826,0.0057078080270115,1.7825419427469995,27227.86806703455,0.13613934033517272,-0.03148978694302662,0.04518072289156627
LogisticRegression_THRESHOLD_OPT_F1,2609,297,2312,266067.5148156469,0.3303375740782346,0.10017688707418237,-0.0588925941347197,0.5252525252525253,0.02190309512532247,0.0044127479474734,1.6371018085976436,10413.638857965154,0.05206819428982579,0.034238085948150476,0.10542168674698793
