strategy,entry_year,n_trades,pnl_usd,win_rate,mean_trade_return,median_trade_return,profit_factor
BASELINE_TECNICO_ALL,2023,127,14839.726867390978,0.44881889763779526,0.014211286156541532,-0.0082687313592967,1.3282025609013943
BASELINE_TECNICO_ALL,2024,93,20702.203590980524,0.5483870967741935,0.021223589660114107,0.0132469919145322,1.7392884178178716
BASELINE_TECNICO_ALL,2025,112,20111.945499310234,0.4642857142857143,0.01801687358882859,-0.00783634658100525,1.460850212182052
LogisticRegression_THRESHOLD_0_50,2023,117,2743.846456766426,0.46153846153846156,0.0018588911898936552,-0.0199361083647521,1.0650491017520984
LogisticRegression_THRESHOLD_0_50,2024,88,20521.358271816185,0.5681818181818182,0.024169480670568774,0.011394564437401548,1.6738845110377079
LogisticRegression_THRESHOLD_0_50,2025,101,16164.246608421583,0.45544554455445546,0.016639476530097657,-0.0141950829271982,1.398355827774307
LogisticRegression_THRESHOLD_OPT_F1,2023,103,6539.542474460403,0.47572815533980584,0.008402755300440231,-0.0038085387935247,1.1700399228478586
LogisticRegression_THRESHOLD_OPT_F1,2024,93,35186.56118884168,0.6021505376344086,0.036741661200437405,0.0253945270614217,2.4353416084481676
LogisticRegression_THRESHOLD_OPT_F1,2025,101,24341.411152344856,0.504950495049505,0.022007534303314372,0.0009797245891018,1.5976753865053566
LogisticRegression_TOP_10,2023,65,-8837.721280976835,0.38461538461538464,-0.014143456730553183,-0.0302083040625276,0.7083295866392999
LogisticRegression_TOP_10,2024,69,36880.04165120974,0.6521739130434783,0.054534874695112034,0.0320551041262875,3.5078989366894753
LogisticRegression_TOP_10,2025,62,73122.0541126377,0.532258064516129,0.10456038788326837,0.02159957942396055,4.443371965937221
RandomForest_THRESHOLD_0_50,2023,118,6014.1560338564595,0.4067796610169492,0.0071649973886336515,-0.0246956661196799,1.1180023733595361
RandomForest_THRESHOLD_0_50,2024,87,51858.31120016281,0.6551724137931034,0.05714861534920317,0.031745936990333,3.0687795055110256
RandomForest_THRESHOLD_0_50,2025,96,30005.831132080297,0.5104166666666666,0.026114303182524033,0.0006188090206251,1.7040308579547276
RandomForest_THRESHOLD_OPT_F1,2023,123,16680.962333803596,0.43902439024390244,0.015962154702373856,-0.0207388719476476,1.330297694685373
RandomForest_THRESHOLD_OPT_F1,2024,90,48802.759189152544,0.6333333333333333,0.049301266822519854,0.0308835923965942,2.9069389654073365
RandomForest_THRESHOLD_OPT_F1,2025,100,47707.36233225499,0.47,0.03842355449294331,-0.00802186842137615,2.16104599674702
RandomForest_TOP_10,2023,34,20454.97710925406,0.5882352941176471,0.0593368670526734,0.0305425247680072,3.3505321674857815
RandomForest_TOP_10,2024,22,-1792.0730575102887,0.45454545454545453,-0.006634082298792186,-0.007271462583941299,0.8599646720056882
RandomForest_TOP_10,2025,52,59373.98132425544,0.6538461538461539,0.10368382898752158,0.0507620668452301,5.277906771888833
RandomForest_TOP_20,2023,71,27705.04742368316,0.5352112676056338,0.03885265245353221,0.0147024981104328,2.8234268198358254
RandomForest_TOP_20,2024,58,13906.301870428986,0.5689655172413793,0.022449686357594038,0.0211658529087464,1.5075041008713506
RandomForest_TOP_20,2025,65,64338.20142957345,0.5384615384615384,0.0810867127902626,0.0194719061633679,3.9338950965104
RandomForest_TOP_30,2023,77,44749.82587908017,0.6493506493506493,0.05599825098794431,0.0231727429218557,3.6200369410449817
RandomForest_TOP_30,2024,63,43691.889065708834,0.6349206349206349,0.057245512843522216,0.0356428253844416,3.0087687537236016
RandomForest_TOP_30,2025,78,106685.58597798269,0.5769230769230769,0.09281113100972752,0.050123493552026804,4.287081010289687
XGBoost_THRESHOLD_0_50,2023,103,24601.624624452375,0.46601941747572817,0.025043440511666293,-0.0038085387935247,1.742362967796163
XGBoost_THRESHOLD_0_50,2024,82,56377.09061532339,0.6829268292682927,0.06073208007883914,0.0443283079210427,3.64473662060836
XGBoost_THRESHOLD_0_50,2025,88,63539.846287831206,0.5795454545454546,0.05195136079222073,0.011130607898057199,3.077636589632762
XGBoost_THRESHOLD_OPT_F1,2023,130,-4995.122125798379,0.38461538461538464,-0.0021120979434357647,-0.02868820257469985,0.9045960103283657
XGBoost_THRESHOLD_OPT_F1,2024,90,40062.323453111996,0.6555555555555556,0.045263231762591796,0.032872511774358,2.896891131847152
XGBoost_THRESHOLD_OPT_F1,2025,97,47814.542697402576,0.5773195876288659,0.042760041090080386,0.0136155221009655,2.474123550688725
XGBoost_TOP_10,2023,61,14706.613798396867,0.47540983606557374,0.024887136591657484,-0.0142272216725938,1.833263475942336
XGBoost_TOP_10,2024,44,23726.038507975503,0.7045454545454546,0.05062624581198785,0.050882029609325696,3.0015949279993746
XGBoost_TOP_10,2025,53,63393.19787272965,0.6226415094339622,0.09899729191916129,0.0270973251258563,5.033202863435941
XGBoost_TOP_20,2023,84,18586.931849415698,0.5,0.022502604690668775,-0.00010144540174280019,1.6873065089484711
XGBoost_TOP_20,2024,58,32833.80470146889,0.6896551724137931,0.0522067616701714,0.033588344277721546,3.2821320414537083
XGBoost_TOP_20,2025,72,65608.29315257257,0.5972222222222222,0.07304205340796109,0.01519984625907865,3.6676748628542195
XGBoost_TOP_30,2023,94,25924.814473364848,0.5106382978723404,0.028125125842664855,0.00753582525168705,1.7942485960612256
XGBoost_TOP_30,2024,64,38676.49383774307,0.71875,0.05305412946413186,0.04747327868696665,3.4881904950533418
XGBoost_TOP_30,2025,87,61606.56431192271,0.5632183908045977,0.05422352896164913,0.0121023295132488,3.219448700337091
