signal_year,context_risk_bucket,n_signals,success_rate,mean_return,median_return
2018,LOW,417,0.34532374100719426,-0.01940376544199127,-0.0339054551808118
2018,MEDIUM,201,0.48756218905472637,0.005150689692803111,-0.0023236574396136
2018,HIGH,51,0.39215686274509803,0.006410128790825362,-0.0384682878512612
2018,EXTREME,72,0.3194444444444444,-0.016402318602890605,-0.03900673939855525
2019,LOW,772,0.5077720207253886,0.008919535269658344,0.00225667466514315
2019,MEDIUM,208,0.5673076923076923,0.020611480704703818,0.01975256791622445
2019,HIGH,139,0.60431654676259,0.021838007824661398,0.0192647378463783
2019,EXTREME,39,0.7692307692307693,0.026630630034007303,0.0254293245206427
2020,LOW,754,0.46816976127320953,0.0034708642322019093,-0.0095310232731389
2020,MEDIUM,301,0.5880398671096345,0.049015862228632155,0.0225565469053324
2020,HIGH,93,0.41935483870967744,0.03668512461154135,-0.010883373296663
2020,EXTREME,41,0.6829268292682927,0.08816799088732555,0.0745627583245905
2021,LOW,596,0.5335570469798657,0.023586920428421462,0.0079386130502261
2021,MEDIUM,463,0.5593952483801296,0.02120061871204602,0.0118773065287776
2021,HIGH,189,0.5873015873015873,0.029271513837227724,0.0127509479477702
2021,EXTREME,87,0.40229885057471265,-0.0022615012284980416,-0.026006966821388
2022,LOW,55,0.14545454545454545,-0.05977883250647011,-0.0650228654444486
2022,MEDIUM,83,0.3132530120481928,-0.023355385024009988,-0.025606649450757
2022,HIGH,149,0.3288590604026846,-0.026726826227810113,-0.0306293727937728
2022,EXTREME,185,0.3837837837837838,-0.008510245239031548,-0.0211581340341727
2023,LOW,419,0.45346062052505964,0.004934950141794419,-0.0102618463395718
2023,MEDIUM,226,0.3893805309734513,-0.0046194207311998645,-0.02395520819470255
2023,HIGH,159,0.4779874213836478,0.011179173131243688,-0.0074962327243638
2023,EXTREME,103,0.5339805825242718,0.046510890676316634,0.0081150751266881
2024,LOW,821,0.5676004872107187,0.0322012867968889,0.0156972152469014
2024,MEDIUM,356,0.598314606741573,0.025009159438260507,0.02027790149967775
2024,HIGH,191,0.5706806282722513,0.016850442649510727,0.0112810434236662
2024,EXTREME,61,0.6885245901639344,0.05727886904222304,0.064475606093424
2025,LOW,248,0.5362903225806451,0.03373592097615923,0.0103250023840256
2025,MEDIUM,196,0.4846938775510204,0.04652952006779018,-0.00252360698330705
2025,HIGH,260,0.5153846153846153,0.0287806129822881,0.0013439954022768
2025,EXTREME,220,0.41818181818181815,-0.0007772029503845042,-0.0201016671594554
