strategy,entry_year,n_trades,pnl_usd,win_rate,mean_trade_return,median_trade_return,profit_factor,avg_context_risk
BASELINE_TECNICO_ALL,2023,127,14839.726867390978,0.44881889763779526,0.014211286156541532,-0.0082687313592967,1.3282025609013943,0.5950462495836089
BASELINE_TECNICO_ALL,2024,93,20702.203590980524,0.5483870967741935,0.021223589660114107,0.0132469919145322,1.7392884178178716,0.5601441163479098
BASELINE_TECNICO_ALL,2025,112,20111.945499310234,0.4642857142857143,0.01801687358882859,-0.00783634658100525,1.460850212182052,0.6640071822720505
RF_RISK_ADAPTIVE,2023,102,29949.82732824227,0.5196078431372549,0.03120982407166274,0.00807630456256745,1.840433547135677,0.5602253519433524
RF_RISK_ADAPTIVE,2024,82,47790.2170499961,0.6463414634146342,0.0515561463624816,0.0255692994321918,2.97936303143248,0.5321907852432295
RF_RISK_ADAPTIVE,2025,87,39159.914156949766,0.47126436781609193,0.03400980599741301,-0.0042768344531851,1.9557062106679413,0.5831529207805662
RF_TOP_10_BASE,2023,34,20454.97710925406,0.5882352941176471,0.0593368670526734,0.0305425247680072,3.3505321674857815,0.3581958920907419
RF_TOP_10_BASE,2024,22,-1792.0730575102887,0.45454545454545453,-0.006634082298792186,-0.007271462583941299,0.8599646720056882,0.49208447132266875
RF_TOP_10_BASE,2025,52,59373.98132425544,0.6538461538461539,0.10368382898752158,0.0507620668452301,5.277906771888833,0.5812194618686035
RF_TOP_20_BASE,2023,71,27705.04742368316,0.5352112676056338,0.03885265245353221,0.0147024981104328,2.8234268198358254,0.49056126458320737
RF_TOP_20_BASE,2024,58,13906.301870428986,0.5689655172413793,0.022449686357594038,0.0211658529087464,1.5075041008713506,0.5297764223345103
RF_TOP_20_BASE,2025,65,64338.20142957345,0.5384615384615384,0.0810867127902626,0.0194719061633679,3.9338950965104,0.5881207847946045
RF_TOP_20_EXCLUDE_EXTREME,2023,71,25146.457758298617,0.49295774647887325,0.03581498197160506,-0.0050115116948772,2.293061125885918,0.4532102917936805
RF_TOP_20_EXCLUDE_EXTREME,2024,59,6679.55151105866,0.5084745762711864,0.012800825025251246,0.0139335600754516,1.2196847284887695,0.5005094618046535
RF_TOP_20_EXCLUDE_EXTREME,2025,62,49839.249145435395,0.532258064516129,0.06856784230073559,0.017707913367554652,3.526034611287878,0.5554798164593263
RF_TOP_20_EXCLUDE_HIGH_EXTREME,2023,52,23030.10244724432,0.5192307692307693,0.04462362531675547,0.013263593814002201,2.3689858902659737,0.37932987077300384
RF_TOP_20_EXCLUDE_HIGH_EXTREME,2024,46,12228.17663823926,0.5217391304347826,0.026503631917212712,0.01886820116023705,1.5917747363066728,0.4760044517900461
RF_TOP_20_EXCLUDE_HIGH_EXTREME,2025,51,43496.17481845224,0.49019607843137253,0.07348965020513139,-0.0041172232189773,3.2959533473657414,0.4949250429785648
RF_TOP_30_BASE,2023,77,44749.82587908017,0.6493506493506493,0.05599825098794431,0.0231727429218557,3.6200369410449817,0.5420842125379219
RF_TOP_30_BASE,2024,63,43691.889065708834,0.6349206349206349,0.057245512843522216,0.0356428253844416,3.0087687537236016,0.5484421379424446
RF_TOP_30_BASE,2025,78,106685.58597798269,0.5769230769230769,0.09281113100972752,0.050123493552026804,4.287081010289687,0.6308459101699445
RF_TOP_30_EXCLUDE_EXTREME,2023,73,37833.873007132715,0.6712328767123288,0.04990858164250573,0.0302796070181746,3.6842753956240655,0.5026513274484936
RF_TOP_30_EXCLUDE_EXTREME,2024,61,37870.710278134735,0.639344262295082,0.053092506012453654,0.0384759506259243,2.9103094369337184,0.5376228503080681
RF_TOP_30_EXCLUDE_EXTREME,2025,72,86475.66665270935,0.5555555555555556,0.08531412236620138,0.017707913367554652,4.162089079078637,0.584699315348457
RF_TOP_30_EXCLUDE_HIGH_EXTREME,2023,66,24470.263544602712,0.6060606060606061,0.03707309148731267,0.02385527455530105,2.765406670236658,0.4479468814447355
RF_TOP_30_EXCLUDE_HIGH_EXTREME,2024,54,42943.065008220525,0.7407407407407407,0.070125771055059,0.0613637883584576,5.161088796496848,0.49777539341917026
RF_TOP_30_EXCLUDE_HIGH_EXTREME,2025,60,75221.94216958636,0.5,0.09336735919307176,-0.00266785535102155,4.308848527193493,0.5230759758839159
