strategy,fundamental_news_risk_bucket,n_trades,pnl_usd,win_rate,mean_trade_return,median_trade_return,profit_factor,avg_news_risk,avg_negative_ratio
BASELINE_TECNICO_ALL,EXTREME,8,3593.5113092309048,0.625,0.04091463086358672,0.0315734198343295,3.234310212406599,0.6675577138056831,0.511656746031746
BASELINE_TECNICO_ALL,HIGH,8,487.7008124833724,0.5,0.008754617576844557,0.013747350542043051,1.1492332821657918,0.535623005630885,0.2159569597069597
BASELINE_TECNICO_ALL,LOW,24,12313.63234417495,0.5416666666666666,0.0520173564771862,0.017361276894651903,2.3661308389706814,0.22685181673591748,0.03786899375134669
BASELINE_TECNICO_ALL,MEDIUM,12,2172.3214031545845,0.6666666666666666,0.015363982549054552,0.02450685803814985,1.4769979229803285,0.4665403478460699,0.18656430375180375
BASELINE_TECNICO_ALL,NO_NEWS,280,37086.71008863793,0.4642857142857143,0.014165638173770053,-0.005138312306711849,1.3768402133583488,0.005892857142857142,
RF_NEWS_RISK_ADAPTIVE,EXTREME,6,11274.29565315811,0.8333333333333334,0.12449324847239511,0.07622557928367035,106.59904405729277,0.6773857970672039,0.5208333333333334
RF_NEWS_RISK_ADAPTIVE,HIGH,12,-281.70999535903115,0.5,0.006262734610698698,0.01605812646670925,0.9485651717488468,0.529516966493624,0.271045621045621
RF_NEWS_RISK_ADAPTIVE,LOW,98,101667.43546468363,0.6530612244897959,0.08288164167855853,0.06196821980348505,4.968913556172813,0.23343006462835528,0.04365207621510142
RF_NEWS_RISK_ADAPTIVE,MEDIUM,55,25873.697873651854,0.5636363636363636,0.03914217983096573,0.0209947723560306,2.2382703399615202,0.465051390101876,0.20330425525287185
RF_NEWS_RISK_ADAPTIVE,NO_NEWS,36,54756.04510105572,0.6111111111111112,0.10758538663970152,0.00843252594563025,5.930989236639914,0.005892857142857142,
RF_TOP_30_BASE,EXTREME,26,13552.155483109049,0.7307692307692307,0.04328477305503238,0.058520495514101004,2.692374917255089,0.6587567607470255,0.5595695970695971
RF_TOP_30_BASE,HIGH,26,10317.073377440622,0.5769230769230769,0.031468464063393604,0.0342725501207452,1.852911513560615,0.5400176017154418,0.27310622070237456
RF_TOP_30_BASE,LOW,88,106944.13028743844,0.6477272727272727,0.09517000263293225,0.0638732314726171,5.353982712297865,0.22577762805137763,0.03842134173016526
RF_TOP_30_BASE,MEDIUM,49,24597.31322946597,0.5714285714285714,0.041534484715954535,0.0159762366311572,2.4109914980315654,0.4669160779034315,0.20620613390356068
RF_TOP_30_BASE,NO_NEWS,29,39716.628545317595,0.5517241379310345,0.09668505883149904,0.0057499153493685,5.3229615077709305,0.005892857142857142,
RF_TOP_30_EXCLUDE_NEG_RATIO_50,EXTREME,6,2476.3686451902213,0.8333333333333334,0.03364054285545775,0.053506470244526344,2.2030003418123876,0.6265458144289205,0.3012566137566137
RF_TOP_30_EXCLUDE_NEG_RATIO_50,HIGH,26,5835.18464466989,0.5384615384615384,0.021140950125283473,0.02860280868152095,1.4832365755683226,0.5400770120912861,0.2770744746706285
RF_TOP_30_EXCLUDE_NEG_RATIO_50,LOW,93,103074.98173955617,0.6344086021505376,0.08867047195137734,0.061254421086287,5.085686094317522,0.23447534874501605,0.0452309128779717
RF_TOP_30_EXCLUDE_NEG_RATIO_50,MEDIUM,58,24375.92661953117,0.5517241379310345,0.03601293339353061,0.015339367370795,2.1313515103737806,0.46558801687195245,0.20336845521628127
RF_TOP_30_EXCLUDE_NEG_RATIO_50,NO_NEWS,32,51572.31399668665,0.59375,0.11585325325605542,0.00798660793288775,6.736189324380549,0.005892857142857142,
RF_TOP_30_EXCLUDE_NEWS_EXTREME,HIGH,29,5947.507295823507,0.5172413793103449,0.020473872967938646,0.0261765717194372,1.4542040869638881,0.5421292576619267,0.2695243812473741
RF_TOP_30_EXCLUDE_NEWS_EXTREME,LOW,91,99283.98392392785,0.6373626373626373,0.08749858569717474,0.061254421086287,5.463033220564591,0.23290068429695918,0.0425619952122861
RF_TOP_30_EXCLUDE_NEWS_EXTREME,MEDIUM,58,24551.873894685144,0.5517241379310345,0.03601293339353061,0.015339367370795,2.1372826998243486,0.46558801687195245,0.20336845521628127
RF_TOP_30_EXCLUDE_NEWS_EXTREME,NO_NEWS,35,55719.91867023027,0.6285714285714286,0.11349226044556342,0.0092611196153488,7.193414994653831,0.005892857142857142,
RF_TOP_30_EXCLUDE_NEWS_HIGH_EXTREME,LOW,106,105766.00193194099,0.6226415094339622,0.0797691896546583,0.0437435092183365,4.710152163615481,0.23551143324466497,0.04455045201438098
RF_TOP_30_EXCLUDE_NEWS_HIGH_EXTREME,MEDIUM,63,27696.84740363901,0.5396825396825397,0.037871684185807844,0.0159762366311572,2.253753475773003,0.46648570950160845,0.20530193329278906
RF_TOP_30_EXCLUDE_NEWS_HIGH_EXTREME,NO_NEWS,38,54109.080163709805,0.5789473684210527,0.09966761298934121,0.0071580142631692,5.570330604108183,0.005892857142857142,
RF_TOP_30_ONLY_LOW_MEDIUM_NEWS,LOW,106,105766.00193194099,0.6226415094339622,0.0797691896546583,0.0437435092183365,4.710152163615481,0.23551143324466497,0.04455045201438098
RF_TOP_30_ONLY_LOW_MEDIUM_NEWS,MEDIUM,63,27696.84740363901,0.5396825396825397,0.037871684185807844,0.0159762366311572,2.253753475773003,0.46648570950160845,0.20530193329278906
RF_TOP_30_ONLY_LOW_MEDIUM_NEWS,NO_NEWS,38,54109.080163709805,0.5789473684210527,0.09966761298934121,0.0071580142631692,5.570330604108183,0.005892857142857142,
